p_elicit,w_hours,sigma_mb,q,p_true,n_reps,power,mean_point_estimate,frac_capped
0.2,72,0.5,0.0,0.25,500,0.0,-0.15741031681438586,0.0
0.3,72,0.5,0.0,0.25,500,0.0,-0.23279700457509359,0.0
0.5,72,0.5,0.0,0.25,500,0.0,-0.3928431180488888,0.0
0.2,72,0.5,0.1,0.25,500,0.0,-0.12812143288106378,0.0
0.3,72,0.5,0.1,0.25,500,0.0,-0.18741690067640238,0.0
0.5,72,0.5,0.1,0.25,500,0.0,-0.3147987091323346,0.0
0.2,72,0.5,0.2,0.25,500,0.0,-0.0916923616419771,0.0
0.3,72,0.5,0.2,0.25,500,0.0,-0.13995996304366526,0.0
0.5,72,0.5,0.2,0.25,500,0.0,-0.2352272723034223,0.0
0.2,72,0.5,0.8,0.25,500,0.698,0.08960581018693427,0.0
0.3,72,0.5,0.8,0.25,500,0.868,0.13704409392929093,0.0
0.5,72,0.5,0.8,0.25,500,0.022,-0.0026023303747925637,0.0
